Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
May,15,Lawyer,123947.36,10356.946666666669,8,5,821,6,"Not Specified, Mortgage Loan, Credit-Builder Loan, Not Specified, Auto Loan, and Home Equity Loan",20,18.0,9.51,9.0,Standard,145.03,23.38013617600689,222.0,Yes,611.2866937353463,390.09447567808473,High_spent_Medium_value_payments,284.31349725323577
August,33,Teacher,16599.37,,6,3,22,2,"Auto Loan, and Student Loan",9,10.0,17.0,6.0,_,1251.25,24.40853442267566,248.0,Yes,17.322016536664947,83.09678062438486,Low_spent_Large_value_payments,279.5092861722835
April,42,Doctor,47370.64,3676.553333333333,5,6,14,1,Not Specified,19,20.0,6.44,0.0,Standard,1397.52,29.590509073215927,380.0,No,21.716396698324967,122.88691167563124,High_spent_Medium_value_payments,473.0520249593772
January,22,Doctor,122135.12,10125.926666666666,2,4,1,1,Credit-Builder Loan,26,14.0,18.46,2.0,Good,1384.06,34.36082256932223,211.0,No,53.47224018380252,759.4393427687659,Low_spent_Small_value_payments,489.6810837140983
June,23,Entrepreneur,39909.36,3393.78,3,7,29,5,"Payday Loan, Not Specified, Not Specified, Payday Loan, and Auto Loan",16,12.0,15.67,10.0,Standard,2094.03,26.437467990358787,205.0,Yes,141.08315359762682,272.2264668235854,Low_spent_Large_value_payments,196.06837957878784
January,17,_______,33662.51,,4,4,9,3,"Student Loan, Mortgage Loan, and Credit-Builder Loan",25,21.0,8.53,8.0,Standard,1448.3,34.14682847274342,368.0,Yes,76.80771063176694,29.18877605740128,High_spent_Large_value_payments,434.4244299774985
February,44,Writer,63354.36,5421.53,6,6,10,1,Not Specified,21,15.0,12.2,2.0,_,895.41,33.9672936309965,202.0,Yes,27.553919992031982,140.5684429593662,High_spent_Large_value_payments,614.0306370486019
March,40,Accountant,57700.16,4864.346666666667,7,10,22,5,"Mortgage Loan, Home Equity Loan, Auto Loan, Not Specified, and Payday Loan",57,17.0,16.2,6.0,Bad,1728.05,24.447324780386072,223.0,NM,221.7632779608531,365.0413314301852,Low_spent_Large_value_payments,169.63005727562847
April,44,Doctor,86902.59,7005.8825,5,4,12,4,"Payday Loan, Student Loan, Home Equity Loan, and Payday Loan",18,9.0,0.8499999999999996,4.0,Standard,746.14,32.00047359789742,96.0,Yes,170.6488171897304,325.3477059225553,Low_spent_Small_value_payments,494.5917268877144
March,25,Media_Manager,48331.59,3847.4193946985097,7,9,32,6,"Payday Loan, Debt Consolidation Loan, Auto Loan, Not Specified, Student Loan, and Auto Loan",55,20.0,15.7,9.0,Bad,3465.91,31.95180758410544,141.0,Yes,457.038016509619,141.70446826440667,Low_spent_Small_value_payments,399.6338705274645
January,14,Writer,15360.58,981.0483333333334,6,9,25,3,"Personal Loan, Auto Loan, and Personal Loan",48,9.0,12.92,11.0,Standard,1521.43,33.21245804057193,140.0,Yes,20.753795710853176,43.57054764668453,High_spent_Small_value_payments,293.78048997579566
April,32,Writer,59641.5,4974.125,8,7,27,7,"Personal Loan, Debt Consolidation Loan, Personal Loan, Not Specified, Debt Consolidation Loan, Personal Loan, and Mortgage Loan",24,24.0,23.99,8.0,Bad,3116.46,23.73239088046928,26.0,NM,260.94947555888155,162.44167615029912,Low_spent_Large_value_payments,344.02134829081933
July,23,Teacher,17750.19,1327.1825,9,10,28,7,"Student Loan, Mortgage Loan, Mortgage Loan, Payday Loan, Home Equity Loan, Not Specified, and Debt Consolidation Loan",21,,30.47,15.0,Bad,4385.27,32.55887583219705,141.0,NM,56.33577390711153,15.52569899089858,High_spent_Medium_value_payments,310.85677710198985
July,54,Mechanic,17250.52,,1,6,10,3,"Personal Loan, Payday Loan, and Mortgage Loan",10,7.0,4.86,1.0,Good,1308.31,37.73104836878056,361.0,No,24.325882300597872,41.23839330424597,High_spent_Large_value_payments,342.6900577284895
March,50,Journalist,111674.25,,2,6,1,4,"Mortgage Loan, Home Equity Loan, Not Specified, and Personal Loan",28,0.0,10.24,3.0,Good,135.2,31.6057166344808,373.0,No,233.81751122283268,158.15599666841177,High_spent_Medium_value_payments,779.2452421087555
April,51,Musician,24353.63,,6,7,11,1,Mortgage Loan,25,16.0,17.24,4.0,Standard,806.4,38.83899963335594,,Yes,15.465946462875564,91.48849696896052,Low_spent_Small_value_payments,368.1924732348306
June,44,Architect,33226.58,2928.8816666666667,6,4,12,7,"Not Specified, Payday Loan, Personal Loan, Not Specified, Personal Loan, Mortgage Loan, and Not Specified",9,10.0,17.26,4.0,Standard,2090.35,27.81493898565517,73.0,Yes,168.4221393241955,59.290400273173816,High_spent_Large_value_payments,305.1756270692973
January,46,Lawyer,27589.12,2343.093333333333,4,5,15,1,Debt Consolidation Loan,20,19.0,3.89,0.0,Standard,99.33,33.982627633682675,227.0,No,22.087933891272627,294.149564615165,Low_spent_Small_value_payments,208.07183482689567
March,15,Accountant,54174.51,4236.5425,6,6,18,7,"Personal Loan, Personal Loan, Mortgage Loan, Not Specified, Credit-Builder Loan, Credit-Builder Loan, and Personal Loan",55,23.0,6.02,12.0,_,2236.88,32.146652492099086,73.0,Yes,226.6403840057425,139.47220511367723,High_spent_Small_value_payments,317.54166088058025
June,52,Writer,89177.01,7517.4175,6,6,8,4,"Payday Loan, Personal Loan, Credit-Builder Loan, and Personal Loan",9,19.0,5.82,3.0,Standard,347.15,28.69026878363124,211.0,No,293.0446460045918,218.728803660311,Low_spent_Medium_value_payments,519.9683003350972
March,36,Architect,66095.88,4922.349023087315,7,4,10,4,"Home Equity Loan, Payday Loan, Student Loan, and Student Loan",20,13.0,12.49,8.0,Standard,1293.86,35.25953180115564,96.0,Yes,822.9967543641145,10000.0,High_spent_Small_value_payments,313.92631627081875
July,26,Entrepreneur,9582.025,1022.5020833333332,5,7,7,2,"Payday Loan, and Personal Loan",8,12.0,5.49,1.0,_,820.12,29.948674492927427,,NM,8.129068767166897,126.39822412878236,Low_spent_Small_value_payments,257.72291543738413
January,54,Accountant,122008.59,10084.3825,2,7,7,0,,16,8.0,4.95,1.0,Good,432.37,32.995145662194865,182.0,No,0.0,378.9531570760725,High_spent_Medium_value_payments,879.4850929239276
June,28,Writer,12498.945,1173.57875,5,958,18,4,"Credit-Builder Loan, Mortgage Loan, Auto Loan, and Credit-Builder Loan",20,13.0,9.1,0.0,Standard,695.46,32.35812504559512,373.0,No,30.871491112229577,74.99025106034756,Low_spent_Medium_value_payments,291.49613282742285
July,54,Teacher,62347.86,5016.655,8,7,7,0,,11,9.0,0.7800000000000002,2.0,Standard,681.95,40.00662989302312,285.0,No,0.0,196.9531975539336,High_spent_Medium_value_payments,554.7123024460665
July,44,Accountant,31356.66,2736.055,10,9,25,7,"Not Specified, Auto Loan, Home Equity Loan, Payday Loan, Home Equity Loan, Not Specified, and Personal Loan",28,22.0,17.37,6.0,Bad,3244.97,31.26646185239029,53.0,NM,120.8178654595682,69.94143521233846,High_spent_Medium_value_payments,332.8461993280933
April,28,Musician,20273.53,1427.460833333333,3,5,3929,4,"Home Equity Loan, Student Loan, Credit-Builder Loan, and Home Equity Loan",28,,8.03,6.0,Standard,1278.4,30.173899556138835,163.0,NM,40.67137268310915,66.2739743508628,Low_spent_Small_value_payments,325.8007362993613
May,39,Developer,32273.01,2800.4175,1,4,2,3,"Mortgage Loan, Mortgage Loan, and Student Loan",6,4.0,3.06,3.0,Good,1362.01,25.88105954007648,187.0,No,65.04265706310916,63.4665949741611,High_spent_Large_value_payments,391.53249796272974
April,41,_______,47093.32,3873.481655361503,3,6,18,6,"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan",22,8.0,12.67,7.0,Standard,1036.19,27.623070456825094,102.0,NM,281.1022331689621,123.34057744255286,High_spent_Medium_value_payments,317.56320069364915
June,28,Developer,41467.22,3174.601666666667,6,10,18,9,"Debt Consolidation Loan, Personal Loan, Payday Loan, Mortgage Loan, Mortgage Loan, Home Equity Loan, Credit-Builder Loan, Not Specified, and Student Loan",62,24.0,2.29,15.0,Bad,1441.4,31.664216014689288,162.0,NM,198.3720163350333,84.51589258818223,High_spent_Small_value_payments,294.57225774345125
January,37,Writer,94053.57,7954.7975,4,4,14,3,"Auto Loan, Personal Loan, and Not Specified",22,,9.96,0.0,Standard,815.38,40.58618667337443,316.0,No,197.13248689579484,117.46370541331764,High_spent_Medium_value_payments,730.8835576908874
March,26,Engineer,28347.68,2091.306666666667,0,2,8,0,,14,,5.05,0.0,_,747.72,30.90136575918831,323.0,No,0.0,175.35281100221854,Low_spent_Large_value_payments,303.7778556644481
January,24,Entrepreneur,96540.69,8068.0575,4,3,9,0,,8,3.0,7.39,4.0,_,582.53,33.32907837201773,183.0,NM,0.0,203.5713520116728,High_spent_Large_value_payments,843.2343979883271
January,54,Lawyer,119014.2,10116.85,4,2,12,-100,"Mortgage Loan, and Student Loan",6,3.0,8.22,3.0,Good,189.33,35.756992544754,386.0,No,178.42085582991544,68.39469764644818,High_spent_Large_value_payments,1004.8694465236364
January,34,Writer,14735.48,,9,10,33,5,"Mortgage Loan, Debt Consolidation Loan, Personal Loan, Personal Loan, and Debt Consolidation Loan",21,,20.56,6.0,Bad,3952.93,26.143737838251237,128.0,Yes,37.473474457512175,55.18544545635182,Low_spent_Medium_value_payments,315.8367467528027
March,55,Entrepreneur,25793.11,2322.425833333333,4,7,20,3,"Auto Loan, Credit-Builder Loan, and Home Equity Loan",8,12.0,12.78,4.0,Standard,413.08,36.503137412247774,351.0,No,47.57935790575591,69.69134712111007,Low_spent_Large_value_payments,384.97187830646726
January,25,_______,15549.06,1589.755,6,6,17,2,"Student Loan, and Personal Loan",43,19.0,18.2,7.0,_,2063.91,26.811697499475397,202.0,Yes,20.165890146986087,53.54621289052261,Low_spent_Medium_value_payments,365.2633969624913
March,43,Mechanic,17889.405,,1,1,4,4,"Credit-Builder Loan, Credit-Builder Loan, Auto Loan, and Home Equity Loan",0,5.0,-2.07,7.0,Good,1035.28,38.02625337850382,330.0,No,57.33850242334994,81.10582634759973,Low_spent_Small_value_payments,276.0340462290503
February,39,Writer,81438.56,6989.546666666666,3,4,20,2,"Debt Consolidation Loan, and Mortgage Loan",28,11.0,8.21,8.0,Standard,509.44,39.430377925651065,88.0,Yes,84.27395568206931,317.9998912632231,High_spent_Small_value_payments,556.6808197213743
February,42,Developer,18263.99,1722.999166666667,8,5,19,7,"Payday Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, and Home Equity Loan",53,22.0,21.34,10.0,Bad,3232.0,34.564327739833395,20.0,Yes,76.67337711183298,106.00290551307005,Low_spent_Medium_value_payments,269.6236340417637
July,31,Teacher,8535.405,,7,5,34,2,"Not Specified, and Not Specified",41,17.0,16.18,10.0,Standard,1525.95,24.602602759957943,239.0,Yes,3033.0,18.519770787055627,High_spent_Medium_value_payments,284.6270341637017
August,34,Manager,35497.94,3063.161666666667,6,7,17,2,"Debt Consolidation Loan, and Student Loan",28,13.0,6.86,9.0,_,2284.86,23.347720759400566,81.0,Yes,39.33346977712343,222.24938278169037,Low_spent_Large_value_payments,314.73331410785295
April,45,Entrepreneur,55281.02,,3,5,10,4,"Student Loan, Personal Loan, Mortgage Loan, and Mortgage Loan",5,15.0,19.18,7.0,Standard,522.67,34.303582131306285,118.0,Yes,99.258963070101,255.5220299578786,Low_spent_Medium_value_payments,396.59417363868704
April,54,Doctor,60340.02,,6,5,17,1,Payday Loan,29,20.0,12.78,6.0,Standard,890.61,40.96857146203477,187.0,Yes,551.1491823527323,113.86148713947335,High_spent_Medium_value_payments,593.6424465004923
July,40,Engineer,82134.44,6671.536666666668,10,5,24,9,"Debt Consolidation Loan, Home Equity Loan, Mortgage Loan, Not Specified, Not Specified, Personal Loan, Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",35,,4.55,10.0,Bad,1332.6,40.472164968027066,225.0,Yes,317.4441995582799,76.14059227134153,High_spent_Large_value_payments,513.5688748370453
June,42,Entrepreneur,43426.9,3497.9083333333333,1,6,2,4,"Payday Loan, Not Specified, Auto Loan, and Debt Consolidation Loan",7,9.0,9.35,6.0,Good,0.95,30.408098403072483,385.0,No,98.63146392889104,54.70753213445792,High_spent_Large_value_payments,436.4518372699844
August,21,Architect,18822.02,1821.5016666666668,4,3,19,2,"Debt Consolidation Loan, and Student Loan",10,16.0,9.63,10.0,_,1464.16,36.79427619576661,195.0,NM,16.429684492487187,65.6163236952017,High_spent_Medium_value_payments,350.1041584789778
February,33,Teacher,35822.34,2995.195,0,2,3,3,"Auto Loan, Not Specified, and Auto Loan",7,-1.0,,0.0,Good,419.31,38.66354676340682,257.0,No,76.3844895844155,252.33679882731929,Low_spent_Medium_value_payments,250.79821158826527
June,53,Journalist,43502.68,3733.223333333333,0,7,6,1,Home Equity Loan,15,4.0,,3.0,Good,862.14,29.068894850002888,312.0,NM,32.03232756170208,101.69131083742,High_spent_Small_value_payments,499.59869493421127
May,27,Architect,33042.48,,4,4,3,2,"Personal Loan, and Student Loan",14,9.0,10.9,1.0,_,226.72,27.9591943342264,277.0,NM,54.98819406838797,308.85086822281875,Low_spent_Small_value_payments,220.41493770879336
May,45,Mechanic,31931.73,,7,3,10,3,"Home Equity Loan, Personal Loan, and Payday Loan",5,19.0,8.16,2.0,Good,577.85,26.899549210395737,378.0,No,77.81784184405257,62.26998708239523,!@9#%8,395.20992107355215
April,44,Teacher,39594.66,3534.5550000000007,4,5,8,4,"Not Specified, Mortgage Loan, Mortgage Loan, and Debt Consolidation Loan",10,4.0,9.25,1.0,Good,1081.66,27.512416204158527,,No,87.05875180520201,187.4405536133441,!@9#%8,348.956194581454
July,43,Engineer,36366.68,2987.556666666667,5,4,13,2,"Student Loan, and Personal Loan",16,18.0,13.17,4.0,Standard,484.73,28.553047684021468,,Yes,52.17659090535482,134.45348985390922,Low_spent_Medium_value_payments,392.1255859074026
April,47,Architect,39477.34,3010.778333333333,0,1,11,0,,12,0.0,2.48,4.0,Good,348.02,26.070742742765173,377.0,No,0.0,224.43978111915573,Low_spent_Small_value_payments,366.6380522141776
July,34,Accountant,60738.48,5336.54,8,8,20,5,"Personal Loan, Personal Loan, Not Specified, Home Equity Loan, and Payday Loan",52,25.0,3.6,15.0,Bad,2423.74,33.5563640609642,166.0,Yes,180.92572052838293,54.86335600081637,High_spent_Large_value_payments,537.8649234708007
March,32,_______,115123.16,9541.596666666666,0,5,9,2,"Student Loan, and Auto Loan",1,4.0,,3.0,Good,286.29,33.76747815809897,310.0,No,166.99180844726837,240.47635992787636,High_spent_Large_value_payments,786.6914982915221
April,37,Scientist,10127.625,872.96875,584,8,32,-100,"Credit-Builder Loan, Student Loan, Auto Loan, Auto Loan, Mortgage Loan, Home Equity Loan, Payday Loan, and Personal Loan",20,16.0,9.25,9.0,_,4673.99,26.71088476794509,107.0,Yes,39.103704516487326,,Low_spent_Medium_value_payments,275.73484451535256
January,33,Entrepreneur,41329.56,3421.13,2,3,7,1,Not Specified,1,10.0,6.66,2.0,Good,1245.01,34.524557944310125,279.0,No,20.55357666184159,141.0994903052867,High_spent_Small_value_payments,440.4599330328717
January,24,_______,73062.6,6267.55,4,7,20,4,"Home Equity Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Home Equity Loan",24,15.0,14.24,5.0,Standard,280.1,40.72892523861135,202.0,Yes,176.85244341466438,10000.0,Low_spent_Large_value_payments,470.84309429961127
February,42,Musician,30683.42,2397.9516666666664,4,6,5776,2,"Debt Consolidation Loan, and Not Specified",27,6.0,10.62,4.0,_,7.24,29.70682262741591,,No,46.88445619510095,64.52340346469947,High_spent_Medium_value_payments,378.3873070068663
May,45,Writer,77672.34,6766.695,3,1,2,3,"Student Loan, Not Specified, and Student Loan",10,4.0,6.76,3.0,Good,813.2,40.12319865034585,260.0,No,139.07177699933828,10000.0,High_spent_Large_value_payments,664.9914219734453
April,22,Writer,51411.1,4178.258333333333,3,5,12,3,"Not Specified, Credit-Builder Loan, and Home Equity Loan",29,20.0,7.7,4.0,Standard,404.88,26.948627243169337,227.0,Yes,113.67192620498898,266.16338955733835,Low_spent_Small_value_payments,327.990517571006
May,21,Media_Manager,18426.025,1513.5020833333335,6,6,14,6,"Not Specified, Home Equity Loan, Payday Loan, Payday Loan, Home Equity Loan, and Mortgage Loan",15,16.0,9.67,8.0,Standard,364.1,27.15104113489055,150.0,Yes,78.42828579099908,56.53491842462954,Low_spent_Large_value_payments,286.38700411770475
August,28,Manager,28431.46,2378.288333333333,7,5,18,5,"Not Specified, Home Equity Loan, Mortgage Loan, Student Loan, and Mortgage Loan",30,24.0,2.64,13.0,Bad,2152.83,34.93423046238497,108.0,Yes,111.22702921272,274.7072150826665,Low_spent_Small_value_payments,141.89458903794684
May,55,Lawyer,88044.6,7073.05,5,4,5,0,,28,5.0,10.57,7.0,Good,344.46,41.24140535245512,398.0,No,0.0,446.54357180334654,Low_spent_Medium_value_payments,540.7614281966535
March,20,Engineer,50513.25,4051.4375,10,10,23,-100,"Home Equity Loan, Student Loan, Payday Loan, Personal Loan, and Auto Loan",14,16.0,27.55,9.0,Bad,3250.87,30.787304807039828,95.0,Yes,208.44543409997124,44.424177752133645,High_spent_Medium_value_payments,402.2741381478952
May,34,Entrepreneur,14925.81,1101.8175,8,6,5,5,"Debt Consolidation Loan, Student Loan, Auto Loan, Credit-Builder Loan, and Credit-Builder Loan",15,13.0,7.23,8.0,Standard,781.33,36.9751426714671,123.0,Yes,61.7842816183049,89.0065932034544,Low_spent_Small_value_payments,249.39087517824063
June,32,Doctor,18514.92,1660.91,9,5,18,6,"Debt Consolidation Loan, Personal Loan, Payday Loan, Student Loan, Payday Loan, and Personal Loan",29,15.0,15.3,11.0,_,2866.5,37.29903906286789,126.0,Yes,49.670253670760346,198.85311138934887,Low_spent_Small_value_payments,207.56763493989084
April,43,Musician,78186.56,6540.546666666666,1,5,6,1,Not Specified,3,1.0,8.43,7.0,_,328.44,33.69599670048853,274.0,NM,60.77173436853664,88.39722813139228,!@9#%8,744.8857041667378
January,31,Media_Manager,10457.88,688.4899999999999,6,8,29,-100,"Not Specified, Personal Loan, Home Equity Loan, Payday Loan, Auto Loan, Student Loan, Payday Loan, and Credit-Builder Loan",34,13.0,9.9,6.0,Bad,1286.8,24.16633514975053,151.0,NM,68.54844529224256,55.21772441253814,Low_spent_Small_value_payments,235.0828302952193
July,19,Doctor,31204.74,2888.395,8,4,8,4,"Personal Loan, Credit-Builder Loan, Home Equity Loan, and Debt Consolidation Loan",30,21.0,10.75,5.0,_,611.99,35.18268002423455,80.0,Yes,96.220995476677,274.043876515612,Low_spent_Small_value_payments,208.574628007711
January,22,Media_Manager,14469.88,1382.823333333333,10,10,29,-100,"Debt Consolidation Loan, Mortgage Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, and Auto Loan",37,24.0,-1.6500000000000004,12.0,Bad,3349.7,32.87400755282197,,Yes,61.64272276549457,138.12125310490126,Low_spent_Small_value_payments,228.5183574629375
July,48,Manager,41898.87,3669.5725,5,4,12,0,,3,11.0,7.35,5.0,Good,927.63,26.767589548948816,355.0,No,0.0,411.9242010817643,!@9#%8,245.0330489182357
April,23,Teacher,58942.6,5168.883333333333,9,6,18,6,"Home Equity Loan, Mortgage Loan, Auto Loan, Payday Loan, Debt Consolidation Loan, and Credit-Builder Loan",58,21.0,0.52,12.0,Bad,2517.0,24.18366187730737,186.0,Yes,187.70354492842685,426.9549765347445,Low_spent_Small_value_payments,192.229811870162
March,22,Doctor,30623.61,2599.067861910859,3,6,5,4,"Mortgage Loan, Not Specified, Personal Loan, and Personal Loan",9,3.0,17.07,0.0,Good,1125.03,27.76290874643376,256.0,No,299.91214924120584,45.90174219427777,High_spent_Medium_value_payments,436.78249665365774
July,27,Journalist,12167.22,1114.6179124902574,5,7,15,0,,21,10.0,7.83,6.0,Standard,124.66,33.532229963091375,217.0,Yes,97.3170875097425,145.1491544484613,Low_spent_Small_value_payments,266.04434555153864
July,44,Journalist,84673.2,7153.099999999999,3,5,2,3,"Home Equity Loan, Student Loan, and Not Specified",8,5.0,2.09,1.0,Good,777.89,30.813600606187773,349.0,No,130.50149973582734,10000.0,High_spent_Large_value_payments,648.2367850003311
August,35,Developer,14916088.0,4619.37,9,8,31,7,"Not Specified, Payday Loan, Personal Loan, Not Specified, Personal Loan, Student Loan, and Credit-Builder Loan",62,,22.23,16.0,Bad,3334.81,23.12514728997581,74.0,Yes,204.3048653258284,163.94262162353988,Low_spent_Medium_value_payments,373.6895130506318
March,22,Journalist,88062.28,7411.523333333333,4,3,1,0,,8,,9.35,0.0,_,404.44,33.72550587017907,388.0,No,0.0,465.1350007000287,Low_spent_Medium_value_payments,556.0173326333047
April,35,Writer,20295.67,1473.305833333333,10,6,17,8,"Mortgage Loan, Personal Loan, Debt Consolidation Loan, Auto Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, and Personal Loan",50,14.0,2.44,12.0,Bad,2103.83,25.25990586728708,242.0,Yes,133.10116164892037,188.38195471460276,Low_spent_Small_value_payments,115.84746696981024
February,36,Developer,27113.76,1962.48,7,3,8,7,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Auto Loan, Credit-Builder Loan, and Auto Loan",29,19.0,8.12,7.0,Standard,834.43,25.0095735232892,184.0,NM,97.89329113184694,164.5261150055704,Low_spent_Small_value_payments,223.8285938625827
August,21,Scientist,14957.97,986.4975,10,5,18,5,"Mortgage Loan, Credit-Builder Loan, Auto Loan, Payday Loan, and Mortgage Loan",31,22.0,6.4,9.0,Bad,1765.9,37.62462059485813,238.0,Yes,53.28419215305007,107.72574918102552,Low_spent_Small_value_payments,227.6398086659244
August,20,Media_Manager,68845.08,5570.09,10,7,20,6,"Personal Loan, Student Loan, Home Equity Loan, Home Equity Loan, Not Specified, and Auto Loan",28,20.0,2.7,11.0,Bad,1498.12,39.29107876325297,189.0,Yes,12661.0,54.43748011976963,High_spent_Large_value_payments,442.316384798833
January,26,Scientist,53878.98,4328.915,850,3,5,2,"Auto Loan, and Auto Loan",11,15.0,1.49,3.0,Good,1119.16,31.99168797094701,214.0,No,78.3506369678963,385.6423321894796,Low_spent_Large_value_payments,238.8985308426241
March,44,Writer,71735.48,,8,3,8,3,"Not Specified, Not Specified, and Student Loan",29,20.0,15.07,2.0,Standard,940.19,25.04545880759673,235.0,Yes,144.54006046544487,207.07358029656916,High_spent_Medium_value_payments,500.5820259046527
February,49,Scientist,85770.33,7275.5275,5,5,5,3,"Home Equity Loan, Payday Loan, and Not Specified",16,10.0,,3.0,Good,1280.08,38.66979210849915,213.0,No,144.42930207423103,122.616269929028,High_spent_Large_value_payments,700.507177996741
March,41,Accountant,14471.61,1021.9675,8,6,25,7,"Auto Loan, Not Specified, Student Loan, Home Equity Loan, Payday Loan, Payday Loan, and Credit-Builder Loan",33,28.0,28.64,7.0,Bad,3332.8,34.8367649414725,114.0,Yes,54.02876927015557,27.24782318023909,Low_spent_Large_value_payments,290.92015754960534
February,55,Doctor,93622.5,7975.875,3,7,2,0,,0,2.0,6.99,4.0,_,142.09,36.014074667160955,,No,0.0,120.5568307367194,High_spent_Large_value_payments,917.0306692632809
July,15,Media_Manager,18474.665,,6,4,8,4,"Not Specified, Student Loan, Auto Loan, and Mortgage Loan",28,10.0,,5.0,Standard,1070.85,33.92875414590058,326.0,NM,41.77876669551781,209.3006007744267,Low_spent_Small_value_payments,201.2761741967221
March,36,Musician,18350.255,1399.187916666667,5,6,19,5,"Not Specified, Personal Loan, Auto Loan, Personal Loan, and Mortgage Loan",27,16.0,7.75,5.0,Standard,505.97,24.82171795280497,125.0,Yes,58.17802473224032,50.70272498178354,Low_spent_Small_value_payments,321.0380419526428
May,39,Teacher,31122.32,2299.526666666666,0,3,6,3,"Mortgage Loan, Student Loan, and Debt Consolidation Loan",4,6.0,8.72,0.0,Good,701.97,24.663183258813557,377.0,No,56.10548708909829,90.62201042766716,High_spent_Medium_value_payments,333.22516914990126
March,43,Accountant,18598.17,1575.8475,8,7,16,-100,"Student Loan, and Auto Loan",17,14.0,6.210000000000001,8.0,Standard,667.98,30.26382537365141,240.0,Yes,18.896396334305955,64.60924709042567,High_spent_Medium_value_payments,324.0791065752684
January,29,Developer,21526.91,1540.9091666666666,6,6,19,2,"Auto Loan, and Credit-Builder Loan",18,,19.28,7.0,_,261.14,27.879076557876022,200.0,Yes,20.92322689362099,111.83629931564636,Low_spent_Medium_value_payments,301.3313904573993
July,32,Entrepreneur,20618.07,1434.1725,9,7,27,5,"Payday Loan, Debt Consolidation Loan, Student Loan, Student Loan, and Debt Consolidation Loan",35,15.0,9.76,12.0,Bad,1424.45,25.80135803072998,149.0,Yes,48.45412970697544,78.43255697195785,Low_spent_Small_value_payments,306.5305633210667
August,35,Lawyer,28070.62,,3,3,12,4,"Auto Loan, Home Equity Loan, Credit-Builder Loan, and Personal Loan",12,17.0,8.55,7.0,Standard,1483.05,29.522903757373577,108.0,Yes,63.95505297734235,152.17356630537512,High_spent_Small_value_payments,287.59321405061587
May,24,Doctor,32889.64,2687.8033333333333,5,6,6,2,"Not Specified, and Auto Loan",20,,13.69,5.0,Standard,177.66,27.52110579412603,151.0,Yes,47.12580761381851,166.46881167182923,High_spent_Small_value_payments,315.1857140476856
June,47,Doctor,5444147.0,1698.773333333333,4,4,6,0,,13,,3.22,0.0,Good,1247.3,36.654388186069056,244.0,No,0.0,129.50647346662294,Low_spent_Small_value_payments,330.3708598667104
February,37,Engineer,34974.3,2986.525,6,9,33,6,"Home Equity Loan, Mortgage Loan, Personal Loan, Not Specified, Home Equity Loan, and Home Equity Loan",15,21.0,16.49,7.0,Bad,4624.51,27.98149683488707,22.0,Yes,134.25906371591478,,High_spent_Medium_value_payments,310.7792309943204
March,37,Engineer,8393.5,517.4583333333334,9,7,29,5,"Student Loan, Student Loan, Not Specified, Payday Loan, and Debt Consolidation Loan",17,20.0,8.92,10.0,Bad,1685.82,23.063277872444537,233.0,Yes,28.70639739897536,60.41764206625123,Low_spent_Small_value_payments,252.6217938681068
January,39,Accountant,32897.91,2468.4925000000007,3,3,5,3,"Personal Loan, Student Loan, and Credit-Builder Loan",5,15.0,11.7,0.0,Standard,342.77,33.527063354374086,320.0,NM,47.73495057808239,132.60602269003593,Low_spent_Large_value_payments,336.50827673188167
April,44,Engineer,37227.24,,8,7,28,2,"Mortgage Loan, and Auto Loan",44,10.0,7.32,17.0,Standard,1309.53,28.60110405470157,205.0,NM,47.42556537230404,328.61657618075765,Low_spent_Small_value_payments,214.5848584469384
May,24,Teacher,33271.74,2537.645,8,10,23,4,"Payday Loan, Home Equity Loan, Debt Consolidation Loan, and Not Specified",54,15.0,7.47,6.0,_,1585.96,29.867045212084804,119.0,Yes,94.0615020413623,79.836291213136,High_spent_Small_value_payments,339.8667067455017
May,41,Accountant,14535.105,1345.25875,1,7,3,2,"Debt Consolidation Loan, and Credit-Builder Loan",15,14.0,6.63,0.0,Good,70.66,34.31197576455407,305.0,No,15.775026734816825,83.17306659728288,Low_spent_Small_value_payments,325.5777816679004
